case_id,category,reviewer,fidelity_1to5,naturalness_1to5,locked_facts_ok,comments
blog_01_meeting_minutes,blog,,,,
blog_02_ai_study_plan,blog,,,,
blog_03_gym_routine,blog,,,,
blog_04_mac_switch,blog,,,,
blog_05_project_retrospective,blog,,,,
email_01_schedule_change,email,,,,
email_02_budget_request,email,,,,
email_03_bug_report,email,,,,
email_04_meeting_followup,email,,,,
email_05_polite_decline,email,,,,
report_01_experiment_result,report,,,,
report_02_competition_proposal,report,,,,
report_03_security_summary,report,,,,
report_04_model_comparison,report,,,,
report_05_team_weekly_update,report,,,,
social_01_product_launch,social,,,,
social_02_event_recap,social,,,,
social_03_learning_thread,social,,,,
social_04_project_demo,social,,,,
social_05_portfolio_intro,social,,,,
